Style,Free,Draft,DraftRR,DraftRR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR,Draft RR
Date,7/5/20,7/15/20,7/20/20,8/1/20,8/13/20,9/9/20,10/1/20,10/22/20,11/22/20,12/27/20,2/7/21,3/15/21,4/18/21,5/26/21,8/15/21,12/24/21,4/2/22,12/23/22,4/1/23,7/4/23,2/28/24,8/18/24,2/28/25,8/4/25
Finish,4,2,1,1,4,4,3,1,3,5,3,5,2,4,2,1,2,5,3,3,1,3,5,3
SP,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Darryl Kile,Darryl Kile,Darryl Kile,Al Leiter,Aaron Sele,Aaron Sele,Aaron Sele,Aaron Sele,Aaron Sele,Jarrod Washburn,Jarrod Washburn,Jarrod Washburn,Jarrod Washburn,Kevin Brown,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Aaron Sele,Pedro Martinez
SP,Chan Ho Park,Robert Person,Kip Wells,Kip Wells,Freddy Garcia,Freddy Garcia,Freddy Garcia,Aaron Sele,Jose Rosado,Chan Ho Park,Jarrod Washburn,Chan Ho Park,Chan Ho Park,David Wells (TOR),David Wells (TOR),Al Leiter,Aaron Sele,Aaron Sele,Darryl Kile,Al Leiter,Darryl Kile,Darryl Kile,Jon Lieber,David Wells (CHW)
SP,Kip Wells,Jimmy Haynes,Robert Person,Robert Person,Robert Person,Robert Person,Robert Person,Robert Person,Robert Person,David Wells (TOR),Al Leiter,Matt Morris,Tony Armas Jr.,Paul Abbott,Paul Abbott,Jose Rosado,Robert Person,Darryl Kile,Kevin Appier (NYM),Frank Castillo,Frank Castillo,Kenny Rogers,Curt Schilling,Curt Schilling
SP,C.C. Sabathia,Kip Wells,Jimmy Haynes,Freddy Garcia,Ramon Martinez,Matt Kinney,Matt Kinney,Geraldo Guzman,Travis Harper,Travis Harper,Kevin Appier (NYM),Matt Kinney,Matt Kinney,Ben Sheets,Russ Ortiz,Travis Harper,Travis Harper,Scott Schoeneweis,Geraldo Guzman,Joey Hamilton,Joey Hamilton,Joey Hamilton,Kevin Millwood,Scott Schoeneweis
RP,Robb Nen,Ugueth Urbina,Ugueth Urbina,Ugueth Urbina,Ugueth Urbina,Ugueth Urbina,Ugueth Urbina,Kazuhiro Sasaki,Kazuhiro Sasaki,Kazuhiro Sasaki,Keith Foulke,Bob Wickman,Bob Wickman,Scott Strickland,Scott Strickland,Scott Strickland,Bob Wickman,Kazuhiro Sasaki,Keith Foulke,Bob Wickman,Rod Beck,Robb Nen,Robb Nen,Keith Foulke
RP,Keith Foulke,Keith Foulke,Keith Foulke,Keith Foulke,Keith Foulke,Keith Foulke,Kazuhiro Sasaki,Scott Strickland,Scott Strickland,Scott Strickland,Bob Wickman,Turk Wendell,Trevor Hoffman,Ugueth Urbina,Jose Jimenez,Kevin Walker,Kevin Walker,Jose Paniagua,Rod Beck,Rod Beck,Dave Veres,Buddy Groom,Matt Mantei,Jose Jimenez
RP,John Rocker,Byung-Hyun Kim,Byung-Hyun Kim,Scott Sauerbeck,Scott Sauerbeck,Billy Wagner,Billy Wagner,Bob Howry,Turk Wendell,John Rocker,Matt Mantei,Matt Mantei,Jose Paniagua,Jose Jimenez,Kevin Walker,Felix Rodriguez,Jose Paniagua,Felix Heredia,Bob Howry,Bob Howry,Jason Christiansen,Dave Weathers,Rich Garces,Matt Mantei
