Style,Free,Draft,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR
,Early July 2020,Mid July 2020,Late July 2020,Early August 2020,Late August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,March 2021,April 2021,May 2021,Summer 2021,Fall 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Fall 2023,Spring 2024,Fall 2024,Spring 2025,Fall 2025
Date,7/5/20,7/15/20,7/20/20,8/1/20,8/13/20,9/9/20,10/1/20,10/22/20,11/22/20,12/27/20,2/7/21,3/15/21,4/18/21,5/26/21,8/15/21,12/24/21,4/2/22,12/23/22,4/1/23,7/3/23,2/28/24,8/18/24,2/28/25,8/4/25
Finish,3,3,3,4,2,2,2,3,2,2,2,1,4,3,1,4,1,1,1,1,3,2,1,2
SP,Pedro Martinez,Barry Zito,Barry Zito,Barry Zito,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Pedro Martinez,Tony Armas Jr.,Roger Clemens,Tony Armas Jr.,Jose Rosado,Jose Rosado,Tony Armas Jr.,Frank Castillo
SP,Barry Zito,Tony Armas Jr.,Tony Armas Jr.,Cliff Politte,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Barry Zito,Tony Armas Jr.,Frank Castillo,Rick Ankiel,Jose Rosado,Paul Abbott,Randy Johnson,Paul Abbott,Rick Helling
SP,Robert Person,Cliff Politte,Randy Johnson,Ramon Martinez,Cliff Politte,Cliff Politte,Ramon Martinez,Kerry Wood,Eric Gagne,Ben Sheets,Rob Bell,Geraldo Guzman,Frank Castillo,Rick Ankiel,Jose Rosado,Frank Castillo,Brad Penny,Ben Sheets,Paul Wilson,Randy Johnson,Brad Penny,Ben Sheets,Geraldo Guzman,Ben Sheets
SP,C.C. Sabathia,Ron Villone,Ron Villone,Ron Villone,Ron Villone,Ron Villone,Ron Villone,C.C. Sabathia,C.C. Sabathia,Ramon Martinez,Rolando Arrojo,Odalis Perez,Cliff Politte,Octavio Dotel (SP),Rob Bell,Octavio Dotel (SP),Eric Gagne,Pat Rapp,Ramon Martinez,Cliff Politte,Octavio Dotel (SP),Pat Rapp,Pat Rapp,Paul Wilson
RP,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Mariano Rivera,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Robb Nen,Jeff Nelson (SEA),Robb Nen,Robb Nen,Robb Nen,Jeff Nelson (SEA),Gabe White,Gabe White,Gabe White,Tom Gordon
RP,Gabe White,Mariano Rivera,Mariano Rivera,Mariano Rivera,Tom Gordon,Tom Gordon,Tom Gordon,Tom Gordon,Tom Gordon,Tom Gordon,Jeff Nelson (SEA),Jeff Nelson (SEA),Armando Benitez,Armando Benitez,Felix Rodriguez,Armando Benitez,Jeff Nelson (SEA),Arthur Rhodes,Jeff Nelson (SEA),Keith Foulke,Ugueth Urbina,Keith Foulke,Ugueth Urbina,Ugueth Urbina
