Style,Free,Draft,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR
Date,7/5/20,7/15/2020,7/20/20,8/1/20,8/13/20,9/9/20,10/1/20,10/22/20,11/22/20,12/27/20,2/7/21,3/15/21,4/18/21,5/26/21,8/15/21,12/24/21,4/2/22,12/23/22,4/1/23,7/3/23,2/28/24,8/18/24,2/28/25,8/4/25
Finish,2,1,4,3,1,3,5,5,5,3,4,2,3,5,5,5,3,4,4,5,5,4,3,
SP,Pedro Martinez,Greg Maddux,Greg Maddux,Greg Maddux,Greg Maddux,Greg Maddux,Greg Maddux,Livan Hernandez,Julian Tavarez,Julian Tavarez,Julian Tavarez,Jeff D'Amico,Jeff D'Amico,Jeff D'Amico,Greg Maddux,Greg Maddux,Barry Zito,Barry Zito,Greg Maddux,Greg Maddux,Greg Maddux,Barry Zito,Barry Zito,Barry Zito
SP,Livan Hernandez,Jarrod Washburn,Jarrod Washburn,Jeff D'Amico,Julian Tavarez,Kevin Brown,Tim Hudson,Mike Mussina (NYY),Jarrod Washburn,Mike Mussina (BAL),Tony Armas Jr.,David Wells (CHW),Darryl Kile,Darryl Kile,Julian Tavarez,Carl Pavano,Tom Glavine,Matt Morris,Barry Zito,Barry Zito,Barry Zito,Jeff D'Amico,David Wells (TOR),David Wells (TOR)
SP,Chan Ho Park,Mike Hampton (COL),Mike Hampton (COL),Jimmy Haynes,Jon Garland,Jon Garland,Rolando Arrojo,Jim Parque,Mike Hampton (NYM),A.J. Burnett,Scott Schoeneweis,Kevin Millwood,Randy Johnson,Kris Benson,Tom Glavine,Hideki Irabu,Livan Hernandez,Mike Hampton (COL),Mike Mussina (BAL),Mark Mulder,Robert Person,Mike Hampton (NYM),Randy Johnson,John Smoltz
SP,C.C. Sabathia,Odalis Perez,Odalis Perez,C.C. Sabathia,C.C. Sabathia,C.C. Sabathia,C.C. Sabathia,Jose Lima,Jose Lima,Ron Villone,Ron Villone,Jason Schmidt,Scott Elarton,John Halama,Jason Bere,Scott Elarton,Hideo Nomo (BOS),Jon Garland,Randy Keisler,Francisco Cordova,Odalis Perez,Brad Penny,John Halama,Chris Holt (DET)
RP,Robb Nen,Gabe White,Gabe White,Gabe White,Mariano Rivera,Mariano Rivera,Mariano Rivera,Mariano Rivera,Robb Nen,Mariano Rivera,Tom Gordon,Tom Gordon,Tom Gordon,Trevor Hoffman,Trevor Hoffman,Robb Nen,Mariano Rivera,Mariano Rivera,Mariano Rivera,Jose Jimenez,Rick White,Mariano Rivera,Mariano Rivera,Mariano Rivera
RP,Dave Weathers,Doug Creek,Kazuhiro Sasaki,Billy Wagner,Gabe White,Gabe White,Trevor Hoffman,Rick White,Rod Beck,Jose Jimenez,Jose Jimenez,Billy Koch,Gabe White,Gabe White,Todd Jones,Mariano Rivera,Jason Isringhausen,Gabe White,Jose Santiago,Rick White,Matt Mantei,Ramiro Mendoza,Ramiro Mendoza,Greg Swindell
RP,Scott Sauerbeck,Roberto Hernandez,Nelson Cruz,Travis Miller,Felipe Lira,Scott Sauerbeck,Scott Sauerbeck,Carlos Almanzar,Onan Masaoka,Craig House,Scott Sauerbeck,Craig House,Travis Miller,Lance Painter,Alan Embree,Trevor Hoffman,Billy Wagner,Ramiro Mendoza,Mike Holtz,Jose Santiago,LaTroy Hawkins,Jason Isringhausen,Jason Isringhausen,Vladimir Nunez
RP,,,,Jeff Brantley,Doug Creek,Doug Creek,Doug Creek,Esteban Yan,C.J. Nitkowski,Jose Silva,Doug Creek,Mike Morgan,Bill Simas,Juan Acevedo,Doug Creek,Jeff Nelson (NYY),Antonio Alfonseca,Todd Van Poppel,Ryan Kohlmeier,Mike Holtz,Ricky Bones,Rheal Cormier,Rheal Cormier,Roberto Hernandez
C,Chad Kreuter,Brad Ausmus (DET),Mark L. Johnson,Mark L. Johnson,Jason Kendall,Jorge Posada,Brad Ausmus (HOU),Gregg Zaun,Paul Lo Duca,Jason Kendall,Charles Johnson (FLA),Jorge Posada,Ramon Hernandez,Chad Kreuter,Charles Johnson (CHW),Mike Lieberthal,Jorge Posada,Charles Johnson (CHW),Mark L. Johnson,Jason Kendall,Ivan Rodriguez,Javy Lopez,Jason Kendall,Jason Kendall
1B,Carlos Delgado,Mark McGwire,Jeff Bagwell,Jeff Bagwell,Mark McGwire,Mark McGwire,Mark McGwire,Mark McGwire,Jeff Bagwell,Carlos Delgado,Todd Helton,Jason Giambi,Mark McGwire,Edgar Martinez,Jason Giambi,Carlos Delgado,Mark McGwire,Fred McGriff,Jason Kendall,Carlos Delgado,Jeff Bagwell,Carlos Delgado,Mark McGwire,Jason Giambi
2B,Placido Polanco,Homer Bush,Homer Bush,Craig Biggio,Craig Biggio,Craig Biggio,Craig Biggio,Edgardo Alfonzo,Edgardo Alfonzo,Mark McLemore,Edgardo Alfonzo,Ray Durham,Eric Young,Eric Young,Ray Durham,Luis Castillo,Luis Castillo,Jerry Hairston Jr.,Jeff Kent,Jeff Kent,Edgardo Alfonzo,Delino DeShields,Jeff Kent,Jeff Kent
SS,Rey Sanchez,Jimmy Rollins,Jimmy Rollins,Derek Jeter,Benji Gil,Benji Gil,Edgar Renteria,Desi Relaford,Neifi Perez,Alex Rodriguez (TEX),Alex Rodriguez (TEX),Nomar Garciaparra,Nomar Garciaparra,Miguel Tejada,Derek Jeter,Tony Womack,Chris Woodward,Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Bill Spiers,Barry Larkin
3B,Joe Randa,Phil Nevin,Fernando Tatis (MON),Aaron Boone,Scott Rolen,Tyler Houston,Tyler Houston,Tony Batista,Matt Williams,Ken Caminiti,Aramis Ramirez,Phil Nevin,Troy Glaus,Troy Glaus,Scott Rolen,Chris Stynes (CIN),Fernando Tatis (MON),Tony Batista,Cal Ripken Jr.,Bill Mueller (CHC),Mike Lowell,Chipper Jones,Ken Caminiti,Ken Caminiti
LF,Adrian Brown,Calvin Murray,Calvin Murray,Wilton Guerrero,Barry Bonds,Barry Bonds,Barry Bonds,John Vander Wal,Barry Bonds,Barry Bonds,John Vander Wal,John Vander Wal,Barry Bonds,Barry Bonds,Shannon Stewart,Shannon Stewart,Barry Bonds,Larry Walker,Michael Tucker,Brady Anderson,John Vander Wal,John Vander Wal,Darin Erstad,Moises Alou
CF,Brian Giles,Brian Giles,Brian Giles,Brian Giles,Darryl Hamilton,Johnny Damon (OAK),Ken Griffey Jr.,Jim Edmonds,Brian Giles,Andruw Jones,Bernie Williams,Johnny Damon (OAK),Johnny Damon (OAK),Brady Anderson,Jim Edmonds,Brian Giles,Mike Cameron,Richard Hidalgo,Richard Hidalgo,Rich Becker,Torii Hunter,Ken Griffey Jr.,Johnny Damon (OAK),Johnny Damon (OAK)
RF,Darin Erstad,Darin Erstad,Darin Erstad,Darin Erstad,Tony Gwynn,Tony Gwynn,John Vander Wal,Mark Smith,Darin Erstad,Roger Cedeno,Travis Lee,Adrian Brown,Michael Tucker,Gary Sheffield,Geoff Jenkins,Geoff Jenkins,Gary Sheffield,Ichiro,Ichiro,Ichiro,Ray Lankford,Bobby Higginson,Ichiro,Magglio Ordonez
DH,Butch Huskey,Edgar Martinez,Edgar Martinez,Frank Thomas,Wilton Guerrero,Wilton Guerrero,Lenny Harris,Mike Sweeney,Mike Darr,Joe Girardi,Doug Mientkiewicz,Scott Hatteberg,Butch Huskey,Richie Sexson,Calvin Murray,Paul Konerko,David Ortiz,Tyler Houston,J.T. Snow,Butch Huskey,Scott Spiezio,Scott Hatteberg,Lenny Harris,Billy McMillon
B,Mike Redmond,Alex Gonzalez,Terry Jones,Mike Redmond,Alex Cora,Alex Cora,Kelly Stinnett,Alex Gonzalez,Jose Vizcaino,Rico Brogna,Luis Rivas,Albert Pujols,Corey Patterson,Felix Martinez,Pat Meares,Marquis Grissom,Desi Relaford,Jason Varitek,Rickey Henderson,Rickey Henderson,Chris Singleton,Paul Lo Duca,Juan Gonzalez (DET),Luis Matos
B,Kevin Sefcik,Rey Ordonez,Rey Ordonez,Rey Ordonez,Mike Redmond,Alex Gonzalez,Alex Gonzalez,Wes Helms,Terry Jones,Alex Gonzalez,Wiki Gonzalez,Calvin Murray,Shane Halter,Joe Girardi,Wes Helms,Chris Richard,A.J. Pierzynski,Benji Gil,Royce Clayton (TEX),Rico Brogna,Orlando Cabrera,Luis Matos,Bill Mueller (SFG),Mark Loretta
B,Tim Bogar,Kevin Jordan,Kevin Jordan,Kevin Jordan,Rey Ordonez,Rey Ordonez,Rey Ordonez,Michael Barrett,Wiki Gonzalez,Kelly Stinnett,Tim Bogar,Jason LaRue,Dan Wilson,Tino Martinez,Lenny Harris,Todd Hundley (LAD),Homer Bush,Chris Richard,Pedro Feliz,Ben Molina,Joe Crede,Bill Mueller (CHC),Kevin Young,Paul O'Neill
B,Alex Gonzalez,Terry Jones,Alex Gonzalez,,,,,,,,,,,,,,,,,,,,,
