Style,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR
Date,9/9/20,10/1/20,10/22/20,11/22/20,12/27/20,2/7/21,3/15/21,4/18/21,5/26/21,8/15/21,12/24/21,4/2/22,12/23/22,4/1/23,7/3/23,2/28/24,8/18/24,2/28/25,8/4/25
Finish,1,1,2,1,4,5,3,1,2,3,3,4,3,2,4,4,5,4,1
SP,David Wells (CHW),Chan Ho Park,Greg Maddux,Greg Maddux,David Wells (CHW),Chan Ho Park,David Wells (TOR),David Wells (CHW),Chan Ho Park,Chan Ho Park,Chan Ho Park,Greg Maddux,Greg Maddux,Chan Ho Park,Chan Ho Park,Chan Ho Park,Greg Maddux,Pedro Martinez,Chan Ho Park
SP,Chan Ho Park,David Wells (CHW),David Wells (TOR),David Wells (CHW),Matt Morris,David Wells (TOR),Jarrod Washburn,Jarrod Washburn,David Wells (CHW),David Wells (CHW),David Wells (TOR),Chan Ho Park,Jose Rosado,Al Leiter,Jarrod Washburn,Jarrod Washburn,Tony Armas Jr.,Jarrod Washburn,Jarrod Washburn
SP,Garrett Stephenson,Rick Helling,Rick Helling,Rick Helling,Rick Helling,Pete Harnisch,Rick Helling,Pete Harnisch,Pete Harnisch,Pete Harnisch,Paul Abbott,Pete Harnisch,Pete Harnisch,Matt Morris,Matt Morris,Tony Armas Jr.,Paul Abbott,Robert Person,Al Leiter
SP,Jose Lima,Jose Lima,Ron Villone,Odalis Perez,C.C. Sabathia,Jose Lima,C.C. Sabathia,Kip Wells,Kip Wells,C.C. Sabathia,Kip Wells,C.C. Sabathia,Kerry Wood,Odalis Perez,Russ Ortiz,Masato Yoshii,Steve Parris,Steve Parris,Pat Rapp
RP,Jeff Nelson (NYY),Jeff Nelson (NYY),Trevor Hoffman,Trevor Hoffman,Jeff Nelson (NYY),Jeff Nelson (NYY),Trevor Hoffman,Jeff Nelson (NYY),Jeff Nelson (NYY),Jeff Nelson (SEA),Greg Swindell,Felix Heredia,Bob Wells,Jeff Nelson (NYY),Jeff Nelson (NYY),Jeff Nelson (NYY),Jeff Nelson (SEA),Jeff Nelson (SEA),Jeff Nelson (NYY)
RP,Rod Beck,Bob Wells,Rod Beck,Curtis Leskanic,Bob Wells,Bob Wells,Rod Beck,Bob Wells,Bob Wells,Rod Beck,Felix Heredia,Dave Veres,Dave Veres,Greg Swindell,Bob Wells,Bob Wells,Bob Wells,LaTroy Hawkins,Danny Graves
RP,Bob Wells,Nelson Cruz,John Wetteland,Jose Cabrera,Vladimir Nunez,Alan Embree,John Riedling,Jay Powell,Wayne Gomes,Jason Grimsley,Dave Weathers,Jeff Nelson (NYY),Matt Mantei,Mike Stanton,Greg Swindell,Greg Swindell,Matt Mantei,Vicente Padilla,Felix Heredia
RP,Nelson Cruz,,Jose Cabrera,,,Dennys Reyes,,Steve Kline (STL),Mark Wohlers,,LaTroy Hawkins,Buddy Groom,Buddy Groom,Matt Anderson,Vicente Padilla,Dan Miceli,Felix Heredia,Dan Miceli,Dave Veres
RP,,,,,,,,,,,,,Ben Weber,Steve Kline (MON),Steve Karsay,Dave Weathers,Vicente Padilla,Billy Wagner,Turk Wendell
RP,,,,,,,,,,,,,,,Mike Stanton,Doug Henry,Shigetoshi Hasegawa,Tim Crabtree,Mark Guthrie (TOR)
RP,,,,,,,,,,,,,,,,,,Anthony Telford,
C,Ivan Rodriguez,Ivan Rodriguez,Brad Ausmus (DET),Brad Ausmus (DET),Jorge Posada,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Ivan Rodriguez,Charles Johnson (CHW),Charles Johnson (CHW),Charles Johnson (CHW),Charles Johnson (CHW),Charles Johnson (CHW)
1B,Jason Giambi,Jason Giambi,Will Clark,Mark Grace (CHC),Mark Grace (ARI),Dave Magadan,Dave Magadan,Todd Helton,John Olerud,Manny Ramirez (CLE),Will Clark,Edgar Martinez,Mike Piazza,Mark Grace (ARI),Rafael Palmeiro,Will Clark,Will Clark,Mike Sweeney,Mike Sweeney
2B,Jerry Hairston Jr.,Jerry Hairston Jr.,Eric Young,Chris Stynes (BOS),Frank Catalanotto,Eric Young,Chris Stynes (BOS),Chris Stynes (BOS),Delino DeShields,Delino DeShields,Roberto Alomar,Eric Young,Quilvio Veras,Jose Vidro,Jose Vidro,Jose Vidro,Edgardo Alfonzo,Edgardo Alfonzo,Edgardo Alfonzo
SS,Ricky Gutierrez,Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (SEA),Alex Rodriguez (TEX),Alex Rodriguez (TEX),Nomar Garciaparra,Alex Rodriguez (SEA),Derek Jeter,Alex Rodriguez (TEX),Nomar Garciaparra,Derek Jeter,Derek Jeter,Derek Jeter,Alex Rodriguez (SEA),Alex Rodriguez (SEA)
3B,Scott Rolen,Fernando Tatis (MON),Fernando Tatis (MON),Troy Glaus,Corey Koskie,Troy Glaus,Fernando Tatis (MON),Ken Caminiti,Chris Stynes (BOS),Chris Stynes (BOS),Chris Stynes (BOS),Chipper Jones,Corey Koskie,Troy Glaus,Fernando Tatis (MON),Fernando Tatis (MON),Chris Stynes (BOS),Chris Stynes (CIN),Troy Glaus
LF,Bobby Abreu,Johnny Damon (OAK),Ellis Burks (CLE),Moises Alou,Ellis Burks (CLE),Moises Alou,Gary Sheffield,Chad Curtis,Darin Erstad,Cliff Floyd,Magglio Ordonez,Cliff Floyd,Tony Gwynn,Barry Bonds,Ellis Burks (CLE),Moises Alou,Moises Alou,Moises Alou,Bobby Higginson
CF,Darryl Hamilton,Darryl Hamilton,Johnny Damon (OAK),Rich Becker,Jim Edmonds,Andruw Jones,Johnny Damon (KCR),Johnny Damon (KCR),Johnny Damon (KCR),Bernie Williams,Johnny Damon (KCR),Bernie Williams,Johnny Damon (KCR),Johnny Damon (KCR),Jim Edmonds,Jim Edmonds,Bernie Williams,Bernie Williams,Andruw Jones
RF,Larry Walker,Larry Walker,Larry Walker,Gary Sheffield,Gary Sheffield,Ellis Burks (CLE),Ellis Burks (CLE),Moises Alou,Moises Alou,Moises Alou,Moises Alou,Vladimir Guerrero,Barry Bonds,Darin Erstad,Darin Erstad,Ellis Burks (CLE),Ellis Burks (CLE),John Vander Wal,Vladimir Guerrero
