 ,Free,Draft,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR,DraftRR
Date,7/5/20,7/15/20,7/20/20,8/1/20,8/13/20,9/9/20,10/1/20,10/22/20,11/22/20,12/27/20,2/7/21,3/15/21,4/18/21,5/26/21,8/15/21,12/24/21,4/2/22,12/23/22,4/1/23,7/4/23,2/28/24,8/18/24,2/28/25,8/4/25
Finish,1,4,2,2,3,5,4,4,4,1,1,4,5,1,4,2,5,2,5,2,2,1,2,5
SP,Pedro Martinez,Kevin Brown,Kevin Brown,Kevin Brown,Kevin Brown,Paul Rigdon,Kevin Brown,Kevin Brown,Kevin Brown,Greg Maddux,Greg Maddux,Greg Maddux,Greg Maddux,Greg Maddux,Kevin Brown,Kevin Brown,Jon Lieber,Pedro Martinez,Kevin Brown,Kevin Brown,Kevin Brown,Kevin Brown,Greg Maddux,Greg Maddux
SP,Livan Hernandez,Julian Tavarez,Al Leiter,Chan Ho Park,Tony Armas Jr.,Geraldo Guzman,Tony Armas Jr.,Jarrod Washburn,Frank Castillo,Kevin Brown,Kevin Brown,Kevin Brown,Kevin Brown,Kevin Brown,Jeff D'Amico,Jeff D'Amico,John Smoltz,Julian Tavarez,Julian Tavarez,Julian Tavarez,Julian Tavarez,Julian Tavarez,Julian Tavarez,Kevin Brown
SP,Chan Ho Park,Chan Ho Park,Chan Ho Park,Tony Armas Jr.,Geraldo Guzman,Eric Gagne,Paul Rigdon,Matt Morris,Tim Hudson,Paul Rigdon,Paul Rigdon,James Baldwin,Juan Guzman,Tim Hudson,Tim Hudson,Matt Morris,Matt Morris,Al Leiter,Tim Hudson,Livan Hernandez,Livan Hernandez,Livan Hernandez,Livan Hernandez,Livan Hernandez
SP,C.C. Sabathia,C.C. Sabathia,C.C. Sabathia,Eric Gagne,Jose Lima,Ramon Martinez,Cliff Politte,Ramon Martinez,Rob Bell,Octavio Dotel (SP),Eric Gagne,Hideo Nomo (BOS),Eric Gagne,Rob Bell,Hideo Nomo (BOS),Masato Yoshii,Masato Yoshii,Eric Gagne,Joey Hamilton,Eric Milton,Rob Bell,Octavio Dotel (SP),Rob Bell,Hideo Nomo (BOS)
RP,Robb Nen,Arthur Rhodes,Arthur Rhodes,Arthur Rhodes,Arthur Rhodes,Trevor Hoffman,Gabe White,Gabe White,Gabe White,Trevor Hoffman,Mariano Rivera,Mariano Rivera,Rick White,Mariano Rivera,Tom Gordon,Tom Gordon,Tom Gordon,Tom Gordon,Tom Gordon,Trevor Hoffman,Trevor Hoffman,Trevor Hoffman,Trevor Hoffman,Gabe White
RP,Gabe White,Kevin Walker,Armando Benitez,Jeff Nelson (SEA),Jeff Nelson (SEA),Jeff Nelson (SEA),Jeff Nelson (SEA),Jeff Nelson (NYY),Arthur Rhodes,Arthur Rhodes,Gabe White,Gabe White,Arthur Rhodes,Derek Lowe,Derek Lowe,Derek Lowe,Rick White,Billy Koch,Ugueth Urbina,Arthur Rhodes,Arthur Rhodes,Arthur Rhodes,Arthur Rhodes,Arthur Rhodes
RP,Craig House,Jeff Zimmerman,Jeff Zimmerman,Jeff Zimmerman,Jeff Zimmerman,Matt Mantei,Mark Wohlers,Greg Swindell,Rich Garces,Mike Trombley,Eddie Guardado,Valerio de los Santos,Mike Trombley,Mike Trombley,Valerio de los Santos,Rick Aguilera,Mark Petkovsek,Kelly Wunsch,Mike Fetters,Rich Garces,Rich Garces,Jose Jimenez,Bob Wickman,Bob Wickman
RP,Jeff Zimmerman,Nelson Cruz,Doug Creek,Doug Creek,Nelson Cruz,Jeff Zimmerman,,,,,,,,,,,,Rheal Cormier,Mark Petkovsek,Mike Remlinger,John Franco,Billy Koch,Kelly Wunsch,Kelly Wunsch
