Lost,Pick,Round,Team,Selection,Notes
Kazuhiro Sasaki,1,1,Ann Arbor,Pedro Martinez,
Brad Ausmus (DET),2,1,Laramie,Greg Maddux,
Jose Vidro,3,1,NY South,Chan Ho Park,
Brian Giles,4,1,New York,Jason Giambi,
Doug Glanville,5,1,Boston,Ellis Burks (SFG),
Frank Castillo,6,2,Ann Arbor,Todd Helton,
Armando Benitez,7,2,Laramie,Jeff Kent,
Jeff Kent,8,2,NY South,Jeff Nelson (NYY),
Damian Jackson,9,2,New York,Kelly Wunsch,
Ellis Burks (SFG),10,2,Boston,Gary Sheffield,
Jon Garland,11,3,Ann Arbor,Keith Foulke,
Todd Van Poppel,12,3,Laramie,Jason Kendall,
Jerry Hairston Jr.,13,3,NY South,Nomar Garciaparra,
Tony Batista,14,3,New York,Ricky Gutierrez,
Benji Gil,15,3,Boston,Jeff Nelson (SEA),
Pedro Martinez,16,ADD/DROP1,Ann Arbor,,
Kelly Wunsch,17,ADD/DROP1,Laramie,,
Todd Helton,18,ADD/DROP1,NY South,,
Fernando Tatis (STL),19,ADD/DROP1,New York,,
Bill Mueller (CHC),20,ADD/DROP1,Boston,,
Greg Maddux,21,ADD/DROP2,Ann Arbor,,
Buddy Groom,22,ADD/DROP2,Laramie,,
Ben Weber,23,ADD/DROP2,NY South,,
Alex Rodriguez (TEX),24,ADD/DROP2,New York,,
Marcus Giles,25,ADD/DROP2,Boston,,
