Lost (Original Rd),Pick,Round,Team,Selection
Todd Helton (2),1,1,Ann Arbor,Jeff Cirillo
Alex Rodriguez (SEA) (3),2,1,New York,Todd Helton
Alex Gonzalez (5),3,1,Fargo,Jose Lima
Scott Sauerbeck (6),4,1,Boston,Alex Rodriguez (SEA)
Fernando Vina (7),5,1,Laramie,Alex Gonzalez
Jeff Cirillo (10),6,2,Ann Arbor,Mark Kotsay
Wilton Guerrero (12),7,2,New York,Ramon Martinez
Mike Redmond (15),8,2,Fargo,Jerry Hairston
Vinny Castilla (15),9,2,Boston,Tom Gordon
Mark Kotsay (15),10,2,Laramie,Scott Sauerbeck
Mike Lansing (16),11,3,Ann Arbor,Fernando Vina
Luis Matos (17),12,3,New York,Vinny Castilla
Bob Wells (UD),13,3,Fargo,Jason Giambi
Jerry Hairston (UD),14,3,Boston,Mike Redmond
Darryl Hamilton (UD),15,3,Laramie,Wilton Guerrero
Jason Giambi (UD),16,4,Ann Arbor,Chad Kreuter
Tony Armas (UD),17,4,New York,Ellis Burks (SFG)
Ricky Gutierrez (UD),18,4,Fargo,Darryl Hamilton
Ramon Martinez (UD),19,4,Boston,Jeff Kent
Bobby Abreu (UD),20,4,Laramie,Jon Garland
Jason Kendall (UD),21,5,Ann Arbor,Mike Lansing
Tom Gordon (UD),22,5,New York,Trevor Hoffman
Jose Lima (UD),23,5,Fargo,Bobby Abreu
Randy Velarde (TEX) (UD),24,5,Boston,Dave Magadan
Jon Garland (UD),25,5,Laramie,Jorge Posada
