Lost (Original Rd),Pick,Round,Team,Selection,Notes
C.C. Sabathia (1),1,1,Laramie,Mark Smith,Jose Lima left at the altar in the first ever woopsy-doopsy
Chan Ho Park (3),2,1,New York,Jarrod Washburn,
Scott Sauerbeck (6),3,1,Ann Arbor,Juan Pierre,
Lenny Harris (6),4,1,Boston,C.C. Sabathia,
Terry Jones (8),5,1,Fargo,Trevor Hoffman,
Juan Pierre (9),6,2,New York,Tom Goodwin,
Rob Ducey (12),7,2,New York,Bobby Abreu,"Second woopsy doopsy, reversing a league first: having two Ellis Burks clones on the same roster"
Doug Creek (13),8,2,Ann Arbor,Jeff Kent,
Mike Redmond (15),9,2,Boston,J.D. Drew,
Mark Kotsay (15),10,2,Boston,Mike Lieberthal,
Jeff Kent (19),11,3,Laramie,Jose Lima,"And in the first woopsy-doopsy-do, Lima comes back to Laramie "
Corey Patterson (UD),12,3,New York,Matt Lawton,
Paul Rigdon (UD),13,3,Ann Arbor,Carlos Delgado,
Mark L. Johnson (UD),14,3,Boston,Octavio Dotel (RP),
Jeff Frye (UD),15,3,Boston,Randy Velarde (TEX),
Jeffrey Hammonds (UD),16,4,Laramie,Livan Hernandez,
Matt Kinney (UD),17,4,New York,Troy Glaus,
Billy Wagner (UD),18,4,Ann Arbor,Scott Strickland,
Jose Valentin (390) (UD),19,4,Fargo,Aaron Sele,
Trevor Hoffman (UD),20,4,Fargo,Rick Helling,
Jose Lima (UD),21,5,Fargo,Jose Cabrera,
Rick Helling (UD),22,5,New York,Barry Larkin,
Jeff Nelson (NYY) (UD),23,5,Ann Arbor,Bob Howry,
Mike Lamb (UD),24,5,Fargo,David Wells (TOR),
John Olerud (UD),25,5,Fargo,Will Clark,
,26,ADD/DROP1,Laramie,"Michael Barrett, Wes Helms, Mike Sweeney, Gregg Zaun, Tony Batista, Desi Relaford, Edgardo Alfonzo, Jim Edmonds, Mike Mussina (NYY), Jim Parque, Carlos Almanzar, Esteban Yan, Rick White",
,27,ADD/DROP1,New York,"Matt Morris, Jeff Nelson (NYY), Greg Swindell, Joe Girardi, Roberto Alomar, Tony Womack, Peter Bergeron, Keith Lockhart, Timoniel Perez",
,28,ADD/DROP1,Ann Arbor,"Jeffrey Hammonds, Benji Gil, Brady Anderson, Todd Walker, Dan Wilson, Mickey Morandini, Felix Martinez, Paul Abbott, Geraldo Guzman",
,29,ADD/DROP1,Boston,"Rob Bell, John Olerud, Adrian Beltre, Ellis Burks (CLE), Miguel Cairo, Wally Joyner, Rey Ordonez, John Flaherty",
,30,ADD/DROP1,Fargo,"Greg Maddux, Gary Sheffield, Frank Catalanotto, Mike Lamb, Rod Beck, Jose Vizcaino, John Wetteland",
,31,ADD/DROP2,Laramie,N/A,
,32,ADD/DROP2,New York,N/A,
,33,ADD/DROP2,Ann Arbor,"Roosevelt Brown, Aaron Sele, Felipe Lira",
,34,ADD/DROP2,Boston,"Kerry Wood, Damion Easley, Corey Koskie, Ichiro",
,35,ADD/DROP2,Fargo,"Ellis Burks (CLE), Eric Young, Charlie Hayes",
