Team,Player,Tm,Pos,Original Pts,10/22 Season,11/22 Season,12/27 Season,2/7 Season,3/15 Season,4/18 Season,5/26 Season,8/15 Season,12/24 Season,4/2 Season,12/23 Season,4/1 Season,7/3 Season,2/28 Season,8/18 Season,2/28/25 Season,8/4/25 Season,Upcoming Season,ASG
AA,Pedro Martinez,BOS,SP,700,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,8
BOS,Alex Rodriguez (TEX),TEX,SS,640,670,680,690,700,710,690,690,700,710,720,730,740,750,760,770,780,790,800,14
NY,Greg Maddux,ATL,SP,590,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,8
DET,Barry Zito,OAK,SP,560,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,3
NY,Kevin Brown,LAD,SP,570,600,610,620,630,640,650,660,670,680,690,680,680,690,700,710,720,710,710,6
NY,Barry Bonds,SFG,LFRF,650,650,630,640,650,630,620,620,630,620,610,610,620,630,640,650,660,650,650,14
NYS,Alex Rodriguez (SEA),SEA,SS,550,580,590,600,610,620,630,620,610,600,600,590,590,600,610,620,630,640,650,14
DET,Jeff Kent,SFG,2B,580,580,590,600,580,570,580,570,560,560,570,580,590,600,610,620,630,640,650,5
,Todd Helton,COL,1B,560,590,600,610,620,630,610,610,620,610,600,600,610,620,630,640,630,620,610,5
,Carlos Delgado,TOR,1B,610,580,590,570,580,560,570,580,590,580,580,570,570,580,590,580,580,590,580,2
DET,Jason Giambi,OAK,1B,570,600,580,570,560,570,580,570,560,560,570,580,570,560,550,550,560,570,580,5
NY,Manny Ramirez (CLE),CLE,LFRF,560,540,520,510,500,510,520,510,510,520,530,540,530,520,520,530,540,550,560,12
,Ivan Rodriguez,TEX,C,530,530,510,520,500,510,520,530,540,550,560,570,580,590,580,580,570,560,550,14
AA,Nomar Garciaparra,BOS,SS,510,540,520,510,520,530,540,550,540,540,530,530,520,520,510,510,520,530,540,6
NYS,Chan Ho Park,LAD,SP,470,490,470,460,470,480,490,500,510,520,530,540,530,530,540,550,540,530,530,1
BOS,Mark McGwire,STL,1B,580,590,600,580,570,560,550,550,540,540,530,530,520,520,530,520,510,510,520,12
,Jeff Bagwell,HOU,1B,560,550,530,540,520,530,510,510,520,530,540,530,520,510,500,500,510,520,510,4
NY,Brian Giles,PIT,"CF,LFRF",510,530,510,520,500,510,490,490,500,490,490,480,480,490,500,510,520,510,510,2
BOS,Jim Edmonds,STL,"CF,LFRF",560,530,540,520,530,510,500,490,480,480,470,470,480,490,500,510,500,500,510,4
BOS,Ellis Burks (SFG),SFG,LFRF,540,560,540,530,520,530,540,530,520,510,510,500,500,510,520,510,510,500,500,2
,Bobby Abreu,PHI,LFRF,510,500,510,490,500,510,490,490,480,480,490,500,510,520,530,520,510,500,490,2
,Richard Hidalgo,HOU,"CF,LFRF",500,520,500,510,490,480,470,460,450,450,460,450,450,460,470,480,490,500,490,0
AA,Gary Sheffield,LAD,LFRF,550,520,500,510,520,500,510,500,500,490,480,480,470,470,480,490,480,480,490,9
,Darin Erstad,ANA,LFRF,510,540,520,530,510,500,510,500,500,490,480,480,490,500,510,500,490,490,480,2
,Julian Tavarez,CHC,SP,500,490,470,480,490,500,480,470,460,460,450,440,440,450,460,470,480,490,480,0
NYS,Jarrod Washburn,ANA,SP,430,420,430,440,420,430,440,450,460,470,480,490,480,470,470,480,470,470,480,0
,Ellis Burks (CLE),CLE,LFRF,520,490,500,480,490,500,510,500,500,510,500,490,480,470,470,480,490,480,470,2
NYS,Charles Johnson (CHW),CHW,C,460,430,410,400,410,420,430,420,410,410,420,410,410,420,430,440,450,460,470,2
,Robb Nen,SFG,RP,330,360,370,380,390,400,410,420,430,440,450,460,470,480,470,460,460,470,460,3
DET,Moises Alou,HOU,LFRF,510,480,460,470,450,460,440,440,450,460,470,460,450,440,430,430,440,450,460,6
NYS,Edgardo Alfonzo,NYM,2B,460,440,450,460,440,450,430,430,440,430,420,420,430,440,430,430,440,450,460,1
,Jeff D'Amico,MIL,SP,530,510,490,480,470,460,470,480,490,500,510,500,490,480,470,460,460,450,440,0
,John Vander Wal,PIT,LFRF,510,500,510,490,480,490,500,490,480,470,460,450,450,440,430,430,440,450,440,0
,Aaron Sele,SEA,SP,460,430,440,450,460,470,480,490,480,470,460,460,470,460,450,440,430,430,420,1
BOS,Manny Ramirez (BOS),BOS,LFRF,490,510,490,480,470,460,450,440,440,450,440,430,430,440,430,420,410,410,420,12
,Tony Armas Jr.,MON,SP,450,470,450,440,430,440,420,420,410,400,390,390,400,390,390,400,410,420,410,0
DET,David Wells (TOR),TOR,SP,460,430,440,420,430,440,450,440,440,450,460,450,440,430,420,410,400,400,410,3
AA,David Wells (CHW),CHW,SP,460,450,430,440,450,430,440,450,460,470,460,450,440,430,420,410,400,390,390,3
DET,Mariano Rivera,NYY,RP,300,330,340,350,360,370,380,370,370,360,360,370,380,390,380,370,370,380,390,13
NY,Livan Hernandez,SFG,SP,480,450,460,440,430,420,410,400,390,380,370,370,360,350,350,360,370,380,390,2
,Ichiro,SEA,LFRF,400,370,380,390,400,410,420,430,420,410,400,390,390,400,410,400,390,390,380,10
NYS,Troy Glaus,ANA,3B,440,410,420,430,410,420,400,400,410,400,390,390,380,380,390,400,390,380,380,4
NYS,Vladimir Guerrero,MON,LFRF,470,450,430,420,430,410,420,410,400,390,390,400,390,380,370,360,360,370,380,9
,Darryl Kile,STL,SP,460,460,440,430,420,410,400,400,410,400,390,380,380,390,380,380,390,380,370,3
BOS,Tom Gordon,CHC,RP,300,310,320,330,340,350,360,370,360,360,370,380,390,400,390,380,370,360,360,3
NYS,Al Leiter,NYM,SP,460,440,450,430,420,430,410,400,390,380,380,370,370,380,390,380,370,360,360,2
,Derek Jeter,NYY,SS,410,390,370,380,360,370,380,390,380,380,370,370,360,350,350,360,370,360,350,14
,Sammy Sosa,CHC,LFRF,490,460,440,430,420,410,420,410,400,390,380,370,360,350,340,340,350,360,350,7
DET,Jason Kendall,PIT,C,420,400,380,370,380,360,350,350,340,330,320,310,300,300,310,320,330,340,350,3
,Jorge Posada,NYY,C,430,410,390,380,390,370,380,370,370,380,370,370,380,390,380,370,360,350,340,5
,Matt Morris,STL,SP,410,380,390,370,380,360,370,360,350,340,340,350,360,370,380,370,360,350,340,2
,Paul Abbott,SEA,SP,450,420,400,390,380,370,360,350,350,360,370,360,350,340,330,330,340,350,340,0
NYS,Andruw Jones,ATL,"CF,LFRF",450,420,400,390,400,410,390,380,370,360,350,350,360,350,340,340,350,340,340,5
,Trevor Hoffman,SDP,RP,290,280,290,300,310,290,300,310,320,330,340,330,320,310,310,320,330,340,330,7
,Jose Rosado,KCR,SP,440,410,390,400,380,370,360,350,340,340,350,340,340,330,330,340,350,340,330,2
NYS,Bobby Higginson,DET,LFRF,450,420,400,410,420,400,390,390,380,380,390,380,370,360,350,340,340,330,330,0
AA,Scott Rolen,PHI,3B,390,390,370,360,350,340,350,340,330,330,320,310,300,300,310,300,300,310,320,7
AA,Jose Vidro,MON,2B,400,380,360,350,360,340,330,320,320,310,300,290,290,300,310,320,310,310,320,3
NY,Edgar Martinez,SEA,DH,460,450,430,420,410,400,390,380,380,370,360,360,350,340,330,330,320,310,310,7
NY,Gabe White,COL,RP,260,290,300,310,290,300,310,320,330,320,310,300,300,290,280,280,290,300,310,0
,Jeff Cirillo,COL,3B,300,330,340,350,360,340,350,360,350,340,330,320,320,330,340,330,320,310,300,2
AA,Cliff Floyd,FLA,LFRF,440,410,390,400,380,390,370,360,360,370,360,360,350,340,330,320,310,300,300,1
DET,Johnny Damon (OAK),OAK,"CF,LFRF",340,330,340,320,330,310,320,330,320,320,330,340,330,320,310,300,290,290,300,2
,Tom Glavine,ATL,SP,480,450,430,420,410,400,390,380,370,370,360,360,350,340,330,320,310,300,290,10
,Randy Johnson,ARI,SP,440,420,400,390,380,370,360,360,350,340,330,320,310,300,300,290,290,300,290,10
,Frank Thomas,CHW,DH,440,420,400,390,380,370,360,350,340,330,330,320,310,300,300,290,290,300,290,5
,Tim Hudson,OAK,SP,440,420,400,410,390,380,370,360,360,370,360,350,340,340,330,320,310,300,290,4
BOS,Frank Castillo,BOS,SP,420,390,370,380,360,350,340,340,330,320,320,310,310,300,300,310,300,290,290,0
,Roberto Alomar,CLE,2B,410,380,390,370,360,350,340,330,320,310,310,300,290,280,280,290,300,290,280,12
,Chipper Jones,ATL,3B,400,370,350,340,350,330,320,310,300,300,310,320,310,300,290,280,280,290,280,8
,Mike Mussina (NYY),NYY,SP,470,440,450,430,420,410,400,390,380,370,360,350,340,330,320,310,300,290,280,5
,Bernie Williams,NYY,"CF,LFRF",430,400,380,370,360,370,350,340,330,330,320,320,310,300,290,280,280,290,280,5
,Johnny Damon (KCR),KCR,"CF,LFRF",350,330,340,320,330,310,320,330,340,330,330,320,320,330,320,310,300,290,280,2
